"id","country","name","sex","age","president","start_president","end_president","ministry","start_minister","end_minister","non_party","president_party","economist","lawyer","inner_circle","party_leader","exp_executive","exp_congress","exp_ngo","exp_thinktanks","exp_business","political_kinship"
49,"Chile","Cruz Lorenzen, Carlos","man",48,"Ricardo Lagos",2000-03-11,2006-03-11,"Obras Públicas",2000-03-11,2002-01-07,0,1,0,0,1,0,1,0,0,0,1,0
50,"Chile","Cumplido Cereceda, Francisco","man",59,"Patricio Aylwin",1990-03-11,1994-03-11,"Justicia",1990-03-11,1994-03-11,0,1,0,1,1,0,0,0,1,0,0,0
51,"Chile","De Gregorio Rebeco, José","man",40,"Ricardo Lagos",2000-03-11,2006-03-11,"Minería",2000-03-11,2001-06-19,0,0,1,0,0,0,1,0,0,0,0,1
52,"Chile","De Gregorio Rebeco, José","man",40,"Ricardo Lagos",2000-03-11,2006-03-11,"Comisión Nacional de Energía",2000-03-11,2001-06-19,0,0,1,0,0,0,1,0,0,0,0,1
53,"Chile","De Gregorio Rebeco, José","man",40,"Ricardo Lagos",2000-03-11,2006-03-11,"Economía, Fomento y Reconstrucción",2000-03-11,2001-06-19,0,0,1,0,0,0,1,0,0,0,0,1
54,"Chile","De Solminihac Tampier, Hernán","man",53,"Sebastián Piñera",2010-03-11,2014-03-11,"Minería",2011-07-18,2014-03-11,1,0,0,0,0,0,0,0,0,0,0,0
55,"Chile","De Solminihac Tampier, Hernán","man",52,"Sebastián Piñera",2010-03-11,2014-03-11,"Obras Públicas",2010-03-11,2011-07-18,1,0,0,0,0,0,0,0,0,0,0,0
56,"Chile","De Vicente Mingo, Felix","man",50,"Sebastián Piñera",2010-03-11,2014-03-11,"Economía, Fomento y Turismo",2013-05-07,2014-03-11,1,0,0,0,0,0,0,0,0,0,0,0
57,"Chile","Delpiano Puelma, Adriana","woman",53,"Ricardo Lagos",2000-03-11,2006-03-11,"SERNAM",2000-03-11,2003-03-03,0,1,0,0,0,0,0,0,0,0,0,0
58,"Chile","Delpiano Puelma, Adriana","woman",47,"Eduardo Frei",1994-03-11,2000-03-11,"Bienes Nacionales",1994-03-11,1999-04-13,0,0,0,0,1,0,0,0,0,0,0,0
59,"Chile","Dockendorff Vallejos, Eduardo","man",55,"Ricardo Lagos",2000-03-11,2006-03-11,"SEGPRES",2004-06-03,2006-03-11,0,0,0,0,0,0,0,0,1,1,0,0
